hostcode,hostdesc
XLRWP  ,RIGHTS-OF-WAY INDUSTRIAL - POST EMERGENC
XLSE   ,EXTERNAL WALL - PAINTWORK
XLTCS  ,TENNIS COURT - SAND
XNFA   ,WEED CONTROL TO START A FALLOW
XNNPW  ,NON-POTABLE WATER
XNWF   ,FRESH WATER FISH POND
XOSS   ,SANDSTONE
XOSUIT ,SUITCASE
XPANW  ,ANNUAL WEED CONTROL
XPAP   ,PESTICIDE ADDITIVE
XPBA   ,POULTRY EQUIPMENT
XPIM   ,INSECTICIDE MARKING ADDITIVE
XPPSS  ,PRIOR TO SURFACE SEEDING OF PASTURES
XPSA   ,POTTED ORNAMENTAL PLANTS - SOIL AROUND
XPWD   ,DISINFECTION OF IRRIGATION WATER - NON F
XSCQPS ,CHOCOLATE QPS & CRITICAL USE EXEMPTION
XSGSW  ,FARM STORED SEED GRAIN - WHEAT
XSWL   ,WAXY LEAF SURFACE
XTFF   ,"FRESHLY FELLED LOGS, POLES, POSTS"
XUB    ,UMBRELLA
XVTB   ,BOAT
XVTS   ,SHIP
PSCI   ,MEDIC SEED CROP
PSCJG  ,GLENN JOINTVETCH SEED CROP
PSCKC  ,BERSEEM CLOVER SEED CROP-PRIOR TO SOWING
PSCLO  ,LOTUS SEED CROP
PSCLS  ,LEGUME SEED CROP
PSCN   ,TALL DEMETER FESCUE SEED CROP
PSCO1  ,PANICUM MAXIMUM SEED CROP - ESTABLISHED
PSCQ   ,CORIANDER SEED CROP
PSCSA  ,CARIBBEAN STYLO SEED CROP-PRIOR TO SOWIN
PSCSC  ,CARIBBEAN STYLO SEED CROP
ROSA2  ,ROSA - SEED SOWING
SCA    ,STORED COMMODITY - REFER TO LABEL
SCAA   ,STORED CEREAL PRODUCE
SCABC  ,STORED BREAKFAST CEREAL
SCADB  ,STORED ANIMAL HIDE AND SKIN
SCPSFQP,STORED FIELD PEAS QPS & APPROVED CUE
SPI    ,PLANTATION INDUSTRY
SW     ,SWIMMING POOL
SWP1   ,CHLORINE POOL
TF     ,TRELLIS FENCE
TIMAE  ,TIMBER STRUCTURES NEAR WATER
TIMB   ,TIMBER IN BUILDINGS - REMEDIAL TREATMENT
TIMD   ,TIMBER - DECKING AND PATIO
TIMF   ,FRAMING TIMBERS - SURFACE SPRAY/DIPPING
TIMG   ,WOODEN OBJECTS - GENERAL
TIMPL  ,PLYWOOD PROCESSING AND MANUFACTURE
TIMRC  ,TIMBER - RESIDENTIAL CONTRUCTION
TIMSOP ,SOFTWOOD PARTICLE BOARD
VBDA   ,DASHEEN
VBRR   ,RUTABAGA GREENS
VG     ,VEGETABLE
VGBDBT ,TOMATO BUSH OR TRELLIS
VGBDJ  ,TOMATO (FOR JUICE AND PULP)
VGBDTR ,TOMATO TRANSPLANTS
VGCA   ,CUCUMBER
VGCA1  ,CUCUMBER - SEE LABEL
VGCB   ,MARROW
VGCL   ,CHILLI
VGDADP ,CAULIFLOWER-DIRECT SEEDED-PRIOR TO SOWIN
VGDAP  ,CAULIFLOWER - PRIOR TO SOWING
VGDAS  ,CAULIFLOWER TRANSPLANT - PRIOR TO SOWING
VGDBDP ,BROCCOLI-DIRECT SEEDED-PRIOR TO SOWING
VGDCH  ,CABBAGE - HEAD CABBAGES
VGDCP  ,CABBAGE - PRIOR TO SOWING
VGDRS  ,BRUSSEL SPROUT TRANPLANT-PRIOR TO SOWING
VGDRT  ,BRUSSEL SPROUT TRANSPLANTS
VGGPP  ,VEGETABLE - PRE-EMERGENT
VGKM   ,KALE MUSTARD
VGLA2  ,ROQUETTE (RUCOLA)
VGMA   ,MARKET GARDEN
VGOA1  ,ONION - POST-EMERGENT
VGOA3  ,ONION - NON-CROP
VGOAD  ,ONION - DIRECT SEEDED
VGOAES ,ONION - EXCLUDING SPRING ONION
VGOAI  ,ONION - REFER TO LABEL
VGP    ,LEGUME
VGPCR  ,PEA - SEE LABEL FOR VARIETY
VGPD1  ,BROAD BEAN - PRE-EMERGENT
VGPE4  ,SOYBEAN - PRE-HARVEST
VGPES  ,SOYBEAN SEED
VGPG   ,DRIED PEA - SEED
VGPK3  ,MUNG BEAN - REFER TO LABEL
VGPL   ,KIDNEY OR MEXICAN BEAN
VGPNP  ,NARBON BEAN - PRIOR TO SOWING
VGPQ3  ,FABA BEAN - PRE-HARVEST
VGPV   ,BORLOTTI BEAN
VGPW   ,LONG BEAN
VGRA   ,BEETROOT
VGRAQ  ,BEETROOT SEED
VGRBA  ,CARROT - PRE-EMERGENT
VGRBL  ,CARROT AT LEAST 1 TRUE LEAF
VGRGP  ,POTATO - PRE-PLANTING SOIL TREATMENT
VGRI1  ,HORSERADISH
VGSB   ,RHUBARB
VGX    ,VEGETABLE (SEE LABEL FOR EXCEPTIONS)
VLC1   ,CHARD
VLNZS  ,NEW ZEALAND SPINACH
VLO    ,ORACH
VLTS   ,TAT SOY
VRCAS  ,CASSAVA
XAA1   ,AGRICULTURAL AREA - PASTURES/FALLOW SEE
XAGE   ,ELECTRICAL AREA - GENERAL
XAGIN  ,INDOOR AREA
XAGNU  ,NON-URBAN AREA - GENERAL
XAGWR  ,WATER-RESTRICTED AREA
XANCB  ,NON-CROP BUSHLAND AREAS
XAPAR  ,PREVENTION OF ANNUAL RYEGRASS TOXICITY
XAPTS  ,TENNIS COURT - SYNTHETIC TURF
XBAA   ,ANIMAL STRUCTURE
XBCS   ,SUPERMARKET
XBFB   ,FARM BUILDINGS
XBGE   ,BUILDING - SEE LABEL
XBGPC  ,BUILDING - POST CONSTRUCTION
XBGT   ,GRAIN TERMINAL
XBGZ   ,BUILDING CONSTRUCTION
XBIE1  ,EXTERNAL COVERED AREAS
XBRS   ,ROOF SPRAYING
XBXCSG ,SURFACES GENERAL - BUILDING
XBXSF  ,FLOOR VOID
XBXSRV ,ROOF VOID
XCTH   ,THATCHING
XEGS   ,GRAIN STORAGE EQUIPMENT
XETB   ,BULK TANK
XEVE   ,VETERINARY EQUIPMENT
XFCH   ,FERRO-CEMENT HULL
XGADF  ,ADF CLOTHING
XHCMH  ,COMPOST HEAP
XLCOS  ,NATURAL CONTAINERS
XLFL   ,FLAT
XLFP   ,FISH POND - AROUND
XLFS1  ,BALES IN WELL SEALED FUMIGATION ENCLOSUR
XLINT  ,TELEPHONE INSTALLATION
XLLNP  ,NSW NPWS MANAGED LAND
XLO    ,OVAL
XLOBK  ,BUNKER
XLPL   ,PLANT - CONTAINER
XLSFG  ,G.R.P. SURFACE
XLTC1  ,TENNIS COURT - NON GRASS
XLTH   ,TREE HOLE
XNST   ,SERRATED TUSSOCK - SUPPRESSION PRIOR TO
XOMB   ,METERBOX
XPA    ,PAPER
XPAMF  ,MISTING/FOGGING
XPCLO  ,CLEANING OF OUTDOOR SURFACES - SEE LABEL
XPDA   ,DEFOLIANT ADDITIVE
XPFI   ,FOGGING OF LARGE & SMALL AREAS(INTERNAL)
XPHM   ,HERBICIDE MARKING ADDITIVE
XPLU3  ,FRUIT FLY AREA-WIDE SUPPRESSION
XPLU4  ,FRUIT FLY TRAPS (STEINER TYPE ONLY)
XPPC   ,PEST CONTROL
XPPW   ,PERENNIAL WEED CONTROL
XPT    ,TALC
XPTFF  ,TEXTILES
XSGSO  ,FARM STORED SEED GRAIN - OATS
XSPR   ,PRODUCE
XTS    ,TIMBER - STRUCTURE
XVTBI  ,BOAT - INTERIOR (UNPAINTED TIMBER)
XWAP   ,COLD WATER AQUARIA AND PONDS
XWBW   ,BRUSH AND WOODY WEED CONTROL
XWCO   ,WATER - ORGANIC CONTENT
XWSG   ,SOUTH GIPPSLAND WATER POTABLE WATER RESE
XXWDS  ,SOFT WOOD LVL
ZTURA2 ,ARCTOSTAPHLOS
MSHD   ,MUSHROOM GROWING TRAY
MTA    ,TURF PESTICIDE ADDITIVE
MTFAD  ,OVAL OR PARK OF QUEENSLAND BLUE COUCH
MTFBG  ,BOWLING GREEN
MTFBH  ,HOME GARDEN LAWN OR TURF
MTFBS  ,LAWN SEED
MTFCQ  ,COUCH LAWN (NOT QLD BLUE COUCH)
MTFCS  ,SALT COUCH TURF
MTFCSA ,COMMON COUCH (NOT SANTA ANNA)
MTFCSW ,SALTWATER COUCH
MTFD   ,QUEENSLAND BLUE COUCH
MTFDS  ,QUEENSLAND BLUE COUCH IN SPORTING AREAS
MTFG8  ,GOLF TEE - SEE LABEL FOR VARIETIES
MTFG9  ,GOLF GREEN - NEWLY SOWN
MTFHC  ,TENNIS COURT OF COMMON COUCH
MTFHG  ,HOME GARDEN LAWN
MTFHK  ,TENNIS COURT OF KIKUYU GRASS
MTFJ   ,RECREATIONAL TURF
MTFNA  ,MARSH OR SEASIDE BENT GRASS
MTFNG  ,BENT GRASS
MTFOV  ,OVALS (SEE LABEL FOR TURF VARIETIES)
MTFP   ,PASPALUM LAWN OR TURF
MTFSA  ,ZOYSIA GRASS TURF
MTFSP  ,SPOT SPRAYING IN LAWNS & TURF
MTFSWE ,SALT WATER COUCH - ESTABLISHED
MTFT   ,CENTIPEDE GRASS LAWN OR TURF
MTFW   ,TURF - WARM SEASON SPECIES
MTHCD  ,HYBRID COUCH
MXXX   ,FLUSHING OUT WATER SYSTEMS
NTCRPE ,NUT CROP - POST EMERGENCE
NTSA2  ,ALMOND - DORMANT - OVER 3 YEARS OLD
NTSG1  ,MACADAMIA - PRIOR TO PLANTING
NTSGB  ,MACADAMIA
NTSGN  ,MACADAMIA - NON-BEARING
NTSJ1  ,WALNUT - PRIOR TO PLANTING
NTSKR  ,RED SPANISH PEANUT
PAAB   ,PASTURE - BARE EARTH SITUATION
PAASD  ,CALOMBA DAISY SEED SET CONTROL
PABG2  ,BARE GROUND
PACB   ,BALANSA CLOVER
PACDC  ,PASTURE (CONTAINING CLOVER)
PACI   ,IMPROVED PASTURE CONTAINING CLOVER
PACNS  ,NEWLY SOWN CLOVER BASED PASTURE
PACRS  ,RED CLOVER PASTURE (SEEDLING)
PACW2  ,WHITE CLOVER - FALLOW & SEEDBED
PACWH  ,HAIFA WHITE CLOVER
PAEC   ,PASTURE (PRIOR TO ESTABLISHING A CROP)
PAFC1  ,CHEWINGS FESCUE PASTURE - ESTABLISHED
PAFSE  ,FESCUE SEED
PAFT1  ,TALL FESUCE PASTURE - ESTABLISHED
PAG    ,GRASS PASTURE
PAGNL  ,GRASS PASTURE (NOT LEGUME BASED)
PAGRA  ,ANNUAL RYEGRASS PASTURE
PAGRS  ,PERENNIAL RYEGRASS SEED
PAGS1  ,GRASS/SUB-CLOVER PASTURE
PAIA   ,ANNUAL PASTURE-IMPROVED
PAL    ,LUCERNE PASTURE - REFER TO LABEL
PALSS  ,LUCERNE - SALVAGE SPRAY
PAMB   ,BARREL MEDIC PASTURE
PAML1  ,MEDIC PASTURE - REFER TO LABEL
PAMW   ,WEED SEED SET CONTROL - MEDIC PASTURE
PAOP   ,PHALARIS PASTURE
PAOPP  ,PHALARIS - PRIOR TO SOWING
PAOV4  ,VETCH - INCORPORATED BY SOWING
PFFE2  ,DEMETER FESCUE SEED CROP 2 YEARS OR OLDR
PLX    ,PAINT - SEE LABEL FOR EXCLUSIONS
PMP    ,GIANT SENSITIVE TREE
POBC   ,BRUNFELSIA CALYSINA - POT PLANT
POBC2  ,BRUNFELSIA CALYSINA - SEED SOWING
POBO   ,BORONIA SPP. - POT PLANT
POCE1  ,CINERARIA - PRICKING-OFF SEEDLING
POCL1  ,CALENDULA - PRICKING-OFF SEEDLING
POCN1  ,CARNATION - PRICKING-OFF SEEDLING
POCN2  ,CARNATION - SEED SOWING
POCNS  ,NURSERY STOCK CONIFER
POCO2  ,COLEUS - SEED SOWING
POCO3  ,COLEUS - CUTTINGS
POCV1  ,CODIAEUM VARIEGATUM - PRICKING-OFF SEEDL
PODE   ,DELPINIUM - POT PLANT
POEP1  ,EUPHORBIA PULCHERRIMA - PRICKING-OFF SEE
POEP2  ,EUPHORBIA PULCHERRIMA - SEED SOWING
POFA   ,FATSHEDERA LIZEI - POT PLANT
POGL2  ,GLOXINIA - SEED SOWING
POGL3  ,GLOXINIA - CUTTINGS
POGY1  ,GYNURA - PRICKING-OFF SEEDLING
POHL   ,HELICHRYSUM (IMMORTELLE) - POT PLANT
POLI3  ,LILIUM - CUTTING
POLP3  ,LEPTOSPERMUM - CUTTINGS
POMA2  ,MARANTA - SEED SOWING
POMA3  ,MARANTA - CUTTINGS
POME   ,MELALEUCA SPP. - POT PLANT
POME1  ,MELALEUCA SPP. - PRICKING-OFF SEEDLING
POOX   ,OXALIS HEDYSAROIDES RUBRA - POT PLANT
POPC   ,POLYSCIAS (LACE ARALIA) - POT PLANT
POPL2  ,PHALAENOSPSIS - SEED SOWING
POPR3  ,PRIMULA SPP. - CUTTINGS
POPX2  ,PHLOX - SEED SOWING
POST3  ,STREPTOCARPUS - CUTTINGS
POVE   ,VERBENA - POT PLANT
POVE3  ,VERBENA - CUTTINGS
POVI   ,VIOLA TRICOLOUR (PANSY) - POT PLANT
POVI2  ,VIOLA TRICOLOUR (PANSY) - SEED SOWING
PROCR  ,PROTECTED CROP 
PSCB   ,ANNUAL RYEGRASS SEED CROP
PSCC2  ,PHALARIS - SELECTIVE WEED CONTROL
PSCC3  ,PHALARIS SEED CROP - ESTABLISHED
PSCCAE ,SIROCCO PHALARIS SEED CROP - ESTABLISHED
PSCCE  ,CENTRO SEED CROP (C. PUBESCENS)
PSCGR5 ,PERENNIAL GRASS SEED CROP - OVER 1 YEAR
PSCIA  ,ANNUAL MEDIC SEED CROP
PSCJ1  ,LUCERNE SEED CROP - ESTABLISHED
PSCKW  ,KENYA WHITE CLOVER SEED CROP
PSCP   ,RYEGRASS SEED CROP
PSCPE  ,RYEGRASS SEED CROP - ESTABLISHED
PSCRA  ,RED CLOVER SEED CROP-PRIOR TO SOWING
SCGMA  ,STORED MAIZE
SCGRY  ,STORED RYE
SCRS1  ,RAPESEED
SOTIM  ,SOUND TIMBER
SPSI   ,STEM INJECTION
SWPWP  ,POOL - WHITE PLASTER
TIM0P  ,TIMBER - PEELED
TIMFS  ,TIMBER-PINE - FRESHLY SAWN
TIMFSW ,TIMBER - FRESH & SALT WATER STRUCTURE
TIMQPS ,TIMBER PRODUCTS QPS & APPROVED CUE
VBCM   ,TAISHONA - CURLED MUSTARD
VF1    ,FRUITING VEGETABLE (SEE LABEL FOR EXCEP)
VGAA   ,STEM & STALK VEGETABLE
VGBA   ,CAPSICUM OR PEPPER
VGBD2  ,TOMATO - SEE LABEL
VGBD3  ,TOMATO - DIRECT SEEDED
VGBDS  ,TOMATO SEEDLING
XSGSPR ,FARM STORED SEED GRAIN - PADDY RICE
XTD    ,TIMBER - INTERNAL DAMP CONDITION
XV1    ,VEHICLE (GENERAL CLEANING)
XV2    ,VEHICLE (WHEEL DIP)
XVBH   ,BOAT HULL (REFER TO LABEL)
XVTBE  ,BOAT - EXTERIOR (ANTIFOULING)
XVTR   ,TRAIN
XW1    ,WATER BODIES
XWMS   ,MANGROVE SWAMP
XWRES  ,RESERVOIRS
ZAGRN  ,NEW ZEALAND BROWN TOP HIGHLAND BENT
ZAGRS  ,SEASIDE BENT
PSCCD  ,SIROSA PHALARIS SEED CROP-OVER 1 YR.OLD
PSCD   ,TALL FESCUE SEED CROP
PSCDG  ,GREENLEAF DESMODIUM SEED CROP
PSCE   ,COCKSFOOT SEED CROP
PSCG1  ,WHITE CLOVER- UNDERSOWN (REFER TO LABEL)
PSCGR4 ,PERENNIAL GRASS SEED CROP
PSCL   ,PASTURE LEGUME SEED CROP
PSCL1  ,GRASS/LEGUME PASTURE - SALVAGE SPRAY
PSCOS  ,GUINEA GRASS SEED CROP - SEEDLING
PSCPM1 ,PANICUM MAXIMUM - SEEDLING
PSCS1  ,STYLO SEED CROP
SB     ,STORED BARLEY
SCAB   ,STORED PULSES AND PULSE PRODUCE
SCAC   ,STORED NUT
SCFDQPS,STORED DRIED FRUIT QPS & APPROVED CUE
SCGAO  ,STORED OATS
SCGAX  ,STORED CEREAL GRAIN-LABEL FOR EXCEPTIONS
SCGD   ,HARVESTING MACHINERY
SCGRI  ,STORED RICE
SCS1   ,STORED SEED FOR PROPAGATION
SWH    ,HEATED POOL
SWL    ,SWIMMING POOL (SEE LABEL)
SWPT   ,POOL - TILED
SWTH   ,THERAPEUTIC POOL
SWWS   ,WADING AND SPLASHER POOL (WITH STABILISE
TIM1   ,SAWN TIMBER - ABOVE GROUND
TIMB2  ,RECONSTITUTED BOARD PRODUCTS IN HAZARD H
TIME   ,EXTERIOR TIMBER
TIMP   ,TIMBER - POLE
TIMP1  ,SOFT/HARD PLYWOOD-PROCESSING/MANUFACTURE
TIMPS  ,PROCESSING & MANUFACTURE OF SOFTWOOD
TIMSF  ,TIMBER - STRUCTURAL FOUNDATION
TIMSI  ,TIMBER-USE INSIDE/ABOVE GROUND-REF LABEL
TIMW   ,WOOD PILE
TPS    ,TERRACOTTA SURFACE
VFCG   ,CUCURBIT - GLASSHOUSE
VGAL   ,ALOE VERA
VGBDG  ,TOMATO (GLASS HOUSE)
VGCAP  ,CUCUMBER - PRE-EMERGENT
VGCF   ,CHOKO
VGCLD  ,CHILLI - POST-HARVEST DIP
VGD    ,BRASSICA SPP. OR COLE CROP
VGDAT  ,CAULIFLOWER TRANSPLANTS
VGDBS  ,BROCCOLI TRANSPLANT - PRIOR TO SOWING
VGDH1  ,CHINESE FLOWERING CABBAGE
VGDT   ,TURNIP
VGLAD  ,LETTUCE - DIRECT SEEDED
VGLCR1 ,CRUCIFER - SEE LABEL FOR EXCEPTIONS
VGLE   ,LEEK
VGOAS  ,ONION - SEED
VGPA   ,GREEN BEAN
VGPAA  ,GREEN BEAN - PRIOR TO SOWING
VGPB   ,ADZUKI BEAN
VGPCI  ,VICTORY FREEZER PEA
VGPCM  ,METEOR PEA
VGPE2  ,SOYBEAN - POST-EMERGENCE
VGPE3  ,SOYBEAN - PRE-PLANT
VGPEI  ,SOYBEAN - IRRIGATED
VGPEP  ,SOYBEAN - PRIOR TO SOWING
VGPJ3  ,NAVY BEAN - FALLOW & SEEDBED
VGPJPE ,NAVY BEAN - PRE-EMERGENT
VGPKE  ,MUNG BEAN - PRE-EMERGENCE
VGPN1  ,NARBON BEAN - INCORPORATED BY SOWING
VGPN2  ,NARBON BEAN - POST SOWING / PRE EMEGENT
VGPQA  ,FABA BEAN - PRE-EMERGENT
VGPQP  ,FABA BEAN - PRIOR TO SOWING
VGPRP  ,BEAN - POST-HARVEST
VGPS1  ,FRENCH BEAN - REFER TO LABEL
VGPT   ,GUAR
VGR    ,ROOT VEGETABLE
VGRBS  ,CARROT SEEDLING
VGRBX  ,CARROT SEED
VGRGCT ,CUT SEED POTATO
VGRGO  ,POTATO - POST-HARVEST
VGRPS  ,SWEET POTATO SEED
VGRQ   ,YAM
VGSC   ,RED BEET
VGSD1  ,ASPARAGUS - EXCEPT WHITE ASPARAGUS
VGSD2  ,ASPARAGUS - ESTABLISHED IN BEDS
VGSF   ,SWEET CORN
VGSF1  ,CORN
VGTA   ,TARO
VLGH   ,VETERINARY HOSPITAL
WCR    ,TOTAL WEED CONTROL
XAANCBG,BARE GROUND - NON-CROP OR FORAGE AREA
XAB    ,BROADACRE
XAC    ,COMMERCIAL AREA - GENERAL
XACFHA ,FOOD HANDLING ESTABLISHMENT
XADR   ,DRAIN
XAGDAB ,BRICKWORK AND/OR PATH
XAGOUT ,OUTDOOR AREA - GENERAL
XAGP   ,PAVED AREA - GENERAL
XAGPL  ,PLAY AREA
XAGZA  ,RIGHT-OF-WAY - GENERAL
XAPS   ,PUBLIC SERVICE AREA
XAPU   ,URBAN AREA
XAR    ,RETAIN PLANT GROWTH REGULATOR
XASH   ,SEED HEAD - SUPPRESSION
XBCAA  ,ABATTOIR
XBCB   ,BEVERAGE PLANT - ALL SITUATIONS
XBCCA  ,CANNERY
XBDD   ,MILKING PLANT
XBDH   ,HOUSE - GENERAL
XBDHZ  ,HOUSE UNDER CONSTRUCTION
XBEH   ,POULTRY HOUSE - EGG HANDLING AREA
XBG    ,BUILDING
XBGA   ,BUILDINGS - AROUND
XBGG   ,GOVERNMENT PREMISES
XBGS   ,GARDEN SHED
XBISF  ,INDUSTRIAL SITE AND/OR FACTORY
XBSH1  ,SHEDS
XBSP   ,PET SHOP
XBTEB  ,EXISTING BUILDING/STRUCTURE - TREATMENT
XBWA1  ,FOOD WAREHOUSING FACILITIES
XBXCF  ,FOUNDATION OR VERTICAL BARRIER
XCCP   ,PROTECTIVE CLOTHING
XCLT   ,ELECTRICAL COMPONENTS
XEMV   ,MILK VAT - AUTO WASH
XFAB   ,FABRIC TREATMENT
XFIT   ,TABLE AND/OR BENCH
XG     ,STRUCTURE - GENERAL
XHSS   ,SOIL SURFACE
XJST   ,SEED TRAY
XLAEHS ,AREAS EXTERNAL TO HOUSE & SHED
XLAF1  ,FIELD APPLICATION TO BEDS OR ROWS
XLDO   ,DOMESTIC AREA - OUTDOORS
XLHA   ,HARD SURFACES
XLHD   ,"HANDS, ARMS"
XLKY   ,DOG KENNEL AND YARD
XLPA1  ,POND - ORNAMENTAL (WITHOUT FISH)
XLPG   ,GARDEN PATH
XLPT   ,PATH - AROUND
XLRWC  ,RIGHTS OF WAY - COMMERCIAL
XLSB   ,GRAIN BIN
XLSTY  ,STY
XLSW   ,SEWER
XLTCE  ,TENNIS COURT - EN-TOUT-CAS
XLTU   ,TUNNEL
XNGL   ,WOODY WEEDS ON GRAZING LAND
XPAE   ,TERMINAL DISINFECTION
XPAF   ,FERTILISER ADDITIVE
XPAN   ,FOLIAR NUTRIENTS ADDITIVE
XPAW   ,WATER ADDITIVE
XPCH   ,WATER HEATER
XPCT   ,EXTERIOR TEXTILE
XPLU1  ,FRUIT FLY LURE CONTROL ROUTINE (CITRUS)
XPPT   ,PRE-PAINT TREATMENT
XPSB   ,BAND SPRAYING
XWAC   ,AIR CONDITIONING WATER
XWB    ,EXTERIOR WEATHERBOARD
XWBB   ,BIRD BATH
XWW    ,WICKER WARE
ZTRYT  ,YOUNG TREE (NON BEARING)-FIELD PLANTING
VGBY1  ,BERRY VEGETABLE - SEE LABEL
VGDC   ,CABBAGE
VGDH   ,CHINESE CABBAGE
VGDRP  ,BRUSSEL SPROUTS - PRIOR TO SOWING
VGEPD  ,PEPINO - POST-HARVEST DIP
VGFH1  ,FENNEL BULB
VGL    ,LEAFY VEGETABLE
VGLA   ,LETTUCE
VGLAP  ,LETTUCE - PRE-PLANTING SOIL TREATMENT
VGLD   ,SPINACH
VGNR   ,ROSELLA
VGOA   ,ONION
VGOAB  ,ONION - POST-PLANT/PRE EMERGENCE
VGOAP  ,ONION - PRE-PLANTING SOIL TREATMENT
VGPCQ  ,PEA - PRIOR TO SOWING
VGPD2  ,BROAD BEAN - REFER TO LABEL
VGPEQ  ,SOYBEAN - PRE-EMERGENT
VGPH3  ,LENTIL - INCORPORATED BY SOWING
VGPJ   ,NAVY BEAN
VGPJP  ,NAVY BEAN - PRIOR TO SOWING
VGPK1  ,MUNG BEAN - PRE-PLANT
VGPR   ,BEAN
VGPSP  ,FRENCH BEAN - PRE-EMERGENT
VGRAM  ,MANGOLD
VGRG   ,POTATO
VGRG1  ,POTATO - SEE LABEL FOR CRITICAL COMMENTS
VGRGA  ,SEED POTATO
VGRGB  ,POTATO - PRE-HARVEST PREPARATION
VGRO   ,BEET
VGROP  ,PURPLEVEIN ROCKET
VGRP   ,SWEET POTATO
VGSAT  ,CELERY TRANSPLANTS
VGSDD  ,ASPARAGUS - DIRECT SEEDED
VGSFPP ,SWEET CORN - PRE-PLANT
VLC4   ,CHEVRIL
VLKC   ,KAI CHOY
VLS    ,SWISS
VSMG   ,MIZUNA
XABFL  ,FEEDLOT
XABFP  ,PIG FOOTBATH (WALK THROUGH)
XACL   ,CLOTHING STORAGE AREA
XAFE   ,FAN
XAGII  ,INSECT BREEDING AREA
XAGIN1 ,INDOOR HIDDEN AREAS
XAPTG  ,TENNIS COURT - GRAVEL SURFACE
XAVP   ,PARKING AREA
XBCH   ,HOTEL AND/OR MOTEL
XBCI   ,COMMERCIAL BUILDING/STRUCTURE-INTERNAL
XBCM   ,MILL AND/OR FOOD PROCESSING PLANT
XBGW   ,WASHROOM AND/OR TOILET
XBHB   ,HYDROBATH
XBIAZ  ,FACTORY UNDER CONSTRUCTION
XBR    ,BRISTLES
XBSU   ,SLAB - UNDER
XBXCWS ,WALL SURFACE - INTERIOR AND/OR EXTERIOR
XCAP   ,SPOT APPLICATION IN DOMESTIC SITUATIONS
XCEI   ,MUSICAL INSTRUMENT
XCEM   ,METAL MATERIAL
XDPB   ,BIOLOGICAL PESTICIDE ADDITIVE
XDS    ,DUST SUPRESSION
XDSS   ,AREAS WHERE SNAILS AND SLUGS CONGREGATE
XEDE   ,DAIRY EQUIPMENT
XEMT   ,MILK TANK
XEVS   ,SURGICAL EQUIPMENT
XFITU  ,TABLE - UNDERNEATH
XHCM   ,COMPOST (WELL ROTTED)
XHR    ,ROCKERY
XLA    ,CLOSELY SETTLED AREA
XLCEM  ,CEMETERY
XLEA   ,LEATHER ARTICLES
XLEPG  ,PATH AND GARDEN EDGING
XLFW   ,FARROW
XLOB   ,LITTER BOX
XLPS   ,PACKING SHED
XNGL1  ,GRASSLANDS
XNLA   ,LIMITED AREA
XNW    ,WEED CONTROL
XNWA   ,WEED CONTROL BY WIPER APPLICATION
XPAA   ,ADHESIVE ADDITIVE
XPAGR  ,GROWTH REGULATOR ADDITIVE
XPAT   ,ADMIXTURE TREATMENT
XPB    ,PREPARATION OF BAITS
XPBH   ,CROSS-ARM BOLT HOLES & INTERFACES
XPCR   ,REPTILE ENCLOSURE
XPDOP  ,DISEASE OUTBREAK PROGRAM
XPEW   ,WALKING STICK
XPFA   ,FOLIAR APPLICATION
XPH    ,HOME
XPJS   ,JETTING SPRAY
XPMF   ,FUNGICIDE MARKING ADDITIVE
XPRT   ,"REPOT, PLANT OR TRANSPLANT ORNAMENTALS"
XPSA1  ,GARDEN BED - SOIL AROUND
XSC1   ,COMMODITY STORAGE - REFER TO LABEL FOR E
XTSW   ,SOFTWOOD TIMBER
XVTBA  ,BOAT - ALUMINIUM
XVTP   ,AIRCRAFT
XVTS4  ,COMMERCIAL AND NAVAL VESSELS 
XVTSCH ,SHIP - CARGO HOLD
XWDP   ,POULTRY DRINKING WATER
XWFS   ,FRESHWATER SWAMP AND MARSH
XWNWH  ,NATURAL WATER HOLDING FEATURE
XWO    ,WATER - OPEN
XWSF   ,LAGOON - SALT AND FRESHWATER
POVR   ,VRIESEA SPLENDENS - POT PLANT
POWP   ,WOLLEMI PINE
POZI2  ,ZINNIA - SEED SOWING
PSC    ,PASTURE SEED CROP
PSCCA2 ,SIROCCO PHALARIS ESTABLISHED PASTURE
PSCECP ,PERENNIAL CURRIE COCKSFOOT SEED CROP 3-6
PSCF1  ,FESCUE SEED CROP
PSCH   ,STRAWBERRY CLOVER SEED CROP
PSCKB  ,BERSEEM CLOVER SEED CROP
PSCLP  ,PERENNIAL LEGUME SEED CROP
PSCSD  ,SHRUBBY STYLO SEED CROP-PRIOR TO SOWING
PSCSS  ,SEEDLING SIGNAL GRASS SEED CROP
PSCST  ,COMMON STYLO SEED CROP
PSCVI  ,CREEPING VIGNA SEED CROP
PSCWC  ,WYNN CASSIA SEED CROP
SCAG   ,ANNUAL GRASS WEED - SEED SET CONTROL
SCAO   ,STORED OILSEED
SCGA   ,STORED CEREAL GRAIN
SCGSO  ,STORED SORGHUM
SCST   ,SEPTIC TANK
SCVA   ,STORED DRIED VEGETABLE
SEMI   ,EARTH MOVING INDUSTRY
SG1    ,STORED GRAIN - SEE LABEL FOR EXCEPTIONS
SW1    ,SWIMMING POOL - FRESHWATER
SW2    ,SWIMMING POOL - ABANDONED
SWPC   ,POOL - PEBBLECRETE
