id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	import_id	exp_cnt	chk	dummy							
322	sp_update	Corn borer	Asian corn borer	{Asian corn borer}	0							1	0		221008										
323	sp_update	corn earworm		Corn earworm	0							1	0		221008										
324	sp_update	Corn Earworm		Corn earworm	0							1	0		221008										
325	sp_update	corn rot		Corn rot	0							1	0		221008										
326	sp_update	corn weevil		Corn weevil	0							1	0		221008										
327	sp_update	corn weevils		Corn weevil	0							1	0		221008										
328	sp_update	"corn,"		"Corn,"	0							1	0		221008										
329	sp_update	"Corn,Rice weevil"		"Corn weevil,Rice weevil"	0							1	0		221008										
330	sp_update	Cornborer		{Asian corn borer}	0							1	0		221008										
331	sp_update	cotton stainer	Cotton stainer bug	Cotton stainer bug	0		Dysdercus koenigii					1	0		221008										
